PParent,Parent,Device ID,ObjectName,x,y,z,stripSize,rendererID,lightList,lightRing,lightRingID,SpeakerID
Group 9,Outer_Section_1,hb-b827eb7a50ea,2_1 LED 1,253.1957,175.3251,424.6734,16,144,96,5,16,
Group 9,Outer_Section_1,hb-b827eb7a50ea,2_1 LED 2,252.1437,147.3251,417.6489,16,145,97,4,16,
Group 9,Outer_Section_1,hb-b827eb7a50ea,2_1 LED 3,248.837,65.7251,399.142,16,146,98,3,16,
Group 9,Outer_Section_1,hb-b827eb7a50ea,2_1 LED 4,243.8139,93.02509,374.4404,16,147,99,2,16,
Group 9,Outer_Section_1,hb-b827eb7a50ea,2_1 Speaker 1,245.9314,106.5251,384.0173,16,148,,,,48
Group 9,Outer_Section_1,hb-b827eb7a50ea,2_1 Speaker 2,250.5712,170.4251,408.2794,16,149,,,,49
Group 9,Outer_Section_2,hb-b827eba6e374,2_1 LED 1,212.5974,192.2251,428.42,16,150,100,5,17,
Group 9,Outer_Section_2,hb-b827eba6e374,2_1 LED 2,212.8966,85.7251,421.3235,16,151,101,4,17,
Group 9,Outer_Section_2,hb-b827eba6e374,2_1 LED 3,213.1594,124.3251,402.5254,16,152,102,3,17,
Group 9,Outer_Section_2,hb-b827eba6e374,2_1 LED 4,212.9117,37.52512,377.3195,16,153,103,2,17,
Group 9,Outer_Section_2,hb-b827eba6e374,2_1 Speaker 1,213.1691,85.7251,387.524,16,154,,,,50
Group 9,Outer_Section_2,hb-b827eba6e374,2_1 Speaker 2,213.1294,151.8251,411.8259,16,155,,,,51
Group 9,Inner_Section,hb-b827eb6aeb0f,2_1 LED 1,213.0637,77.00012,345.4942,16,156,104,1,16,
Group 9,Inner_Section,hb-b827eb6aeb0f,2_1 LED 2,230.4136,27.90009,302.733,16,157,105,0,16,
Group 9,Inner_Section,hb-b827eb6aeb0f,2_1 LED 3,237.8562,34.6001,343.3071,16,158,106,1,17,
Group 9,Inner_Section,hb-b827eb6aeb0f,2_1 LED 4,212.8197,0.0000916,304.4948,16,159,107,0,17,
Group 9,Inner_Section,hb-b827eb6aeb0f,2_1 Speaker 1,222.4562,21.2001,314.861,16,160,,,,52
Group 9,Inner_Section,hb-b827eb6aeb0f,2_1 Speaker 2,222.5264,40.7001,334.8609,16,161,,,,53
Group 10,Outer_Section_1,hb-b827eb1cae1b,2_1 LED 1,174.4755,149.2252,424.8459,16,162,108,5,18,
Group 10,Outer_Section_1,hb-b827eb1cae1b,2_1 LED 2,176.0322,98.72516,417.9158,16,163,109,4,18,
Group 10,Outer_Section_1,hb-b827eb1cae1b,2_1 LED 3,179.6342,106.9252,399.4641,16,164,110,3,18,
Group 10,Outer_Section_1,hb-b827eb1cae1b,2_1 LED 4,183.8737,50.82513,374.616,16,165,111,2,18,
Group 10,Outer_Section_1,hb-b827eb1cae1b,2_1 Speaker 1,182.3886,115.6251,384.311,16,166,,,,54
Group 10,Outer_Section_1,hb-b827eb1cae1b,2_1 Speaker 2,177.9505,190.1251,408.6109,16,167,,,,55
Group 10,Outer_Section_2,hb-b827ebdae5ec,2_1 LED 1,135.2653,170.5251,413.6736,16,168,112,5,19,
Group 10,Outer_Section_2,hb-b827ebdae5ec,2_1 LED 2,138.1079,139.5251,407.1644,16,169,113,4,19,
Group 10,Outer_Section_2,hb-b827ebdae5ec,2_1 LED 3,145.1437,105.6251,389.7306,16,170,114,3,19,
Group 10,Outer_Section_2,hb-b827ebdae5ec,2_1 LED 4,154.0182,54.22513,366.1374,16,171,115,2,19,
Group 10,Outer_Section_2,hb-b827ebdae5ec,2_1 Speaker 1,150.5719,85.72516,375.7458,16,172,,,,56
Group 10,Outer_Section_2,hb-b827ebdae5ec,2_1 Speaker 2,141.756,147.5251,398.3922,16,173,,,,57
Group 10,Inner_Section,hb-b827eb76224b,2_1 LED 1,165.6567,69.80011,336.5161,16,174,116,1,18,
Group 10,Inner_Section,hb-b827eb76224b,2_1 LED 2,197.2823,49.80008,302.9101,16,175,117,0,18,
Group 10,Inner_Section,hb-b827eb76224b,2_1 LED 3,189.565,15.00012,343.4329,16,176,118,1,19,
