PParent,Parent,Device ID,ObjectName,x,y,z,stripSize
Group 15,Inner_Section,hb-b827eb62e221,2_1 Speaker 2,111.5725,40.70004,148.7945,16
Group 16,Outer_Section_1,hb-b827eb0945e9,2_1 LED 1,68.72005,149.2251,56.22098,16
Group 16,Outer_Section_1,hb-b827eb0945e9,2_1 LED 2,73.3123,98.7251,61.63954,16
Group 16,Outer_Section_1,hb-b827eb0945e9,2_1 LED 3,85.86636,106.9251,75.63368,16
Group 16,Outer_Section_1,hb-b827eb0945e9,2_1 LED 4,103.1407,50.82507,93.9911,16
Group 16,Outer_Section_1,hb-b827eb0945e9,2_1 Speaker 1,96.29889,115.6251,86.96341,16
Group 16,Outer_Section_1,hb-b827eb0945e9,2_1 Speaker 2,79.58174,190.1251,68.77783,16
Group 16,Outer_Section_2,hb-b827eb43266a,2_1 LED 1,101.2652,170.5251,31.66339,16
Group 16,Outer_Section_2,hb-b827eb43266a,2_1 LED 2,104.7466,139.5251,37.85446,16
Group 16,Outer_Section_2,hb-b827eb43266a,2_1 LED 3,114.419,105.6251,53.97534,16
Group 16,Outer_Section_2,hb-b827eb43266a,2_1 LED 4,127.8987,54.22507,75.27548,16
Group 16,Outer_Section_2,hb-b827eb43266a,2_1 Speaker 1,122.3079,85.7251,66.73485,16
Group 16,Outer_Section_2,hb-b827eb43266a,2_1 Speaker 2,109.5485,147.5251,46.05211,16
Group 16,Inner_Section,hb-b827eb23d05b,2_1 LED 1,144.5233,69.80005,102.414,16
Group 16,Inner_Section,hb-b827eb23d05b,2_1 LED 2,152.2828,49.80002,147.9038,16
Group 16,Inner_Section,hb-b827eb23d05b,2_1 LED 3,124.5956,15.00006,117.325,16
Group 16,Inner_Section,hb-b827eb23d05b,2_1 LED 4,166.314,10.90002,137.144,16
Group 16,Inner_Section,hb-b827eb23d05b,2_1 Speaker 1,152.6638,31.90002,133.4033,16
Group 16,Inner_Section,hb-b827eb23d05b,2_1 Speaker 2,142.0756,58.60004,116.436,16
Group 17,Outer_Section_1,hb-b827eb9c66f6,2_1 LED 1,135.5577,175.3251,14.63422,16
Group 17,Outer_Section_1,hb-b827eb9c66f6,2_1 LED 2,137.8824,147.3251,21.34579,16
Group 17,Outer_Section_1,hb-b827eb9c66f6,2_1 LED 3,144.5335,65.7251,38.92996,16
Group 17,Outer_Section_1,hb-b827eb9c66f6,2_1 LED 4,154.01,93.02509,62.28796,16
Group 17,Outer_Section_1,hb-b827eb9c66f6,2_1 Speaker 1,150.1688,106.5251,53.26328,16
Group 17,Outer_Section_1,hb-b827eb9c66f6,2_1 Speaker 2,141.1498,170.4251,30.26678,16
Group 17,Outer_Section_2,hb-b827eb11640a,2_1 LED 1,174.7763,192.2251,3.49147,16
Group 17,Outer_Section_2,hb-b827eb11640a,2_1 LED 2,175.7861,85.7251,10.52213,16
Group 17,Outer_Section_2,hb-b827eb11640a,2_1 LED 3,178.9819,124.3251,29.04849,16
Group 17,Outer_Section_2,hb-b827eb11640a,2_1 LED 4,183.857,37.52512,53.77972,16
Group 17,Outer_Section_2,hb-b827eb11640a,2_1 Speaker 1,181.7289,85.7251,43.79617,16
Group 17,Outer_Section_2,hb-b827eb11640a,2_1 Speaker 2,177.3025,151.8251,19.90085,16
Group 17,Inner_Section,hb-b827eb1cd432,2_1 LED 1,189.5555,77.00012,85.09106,16
Group 17,Inner_Section,hb-b827eb1cd432,2_1 LED 2,180.3583,27.90009,130.3122,16
Group 17,Inner_Section,hb-b827eb1cd432,2_1 LED 3,165.587,34.6001,91.79651,16
Group 17,Inner_Section,hb-b827eb1cd432,2_1 LED 4,197.3289,9.16E-05,125.3475,16
Group 17,Inner_Section,hb-b827eb1cd432,2_1 Speaker 1,185.9517,21.2001,116.9285,16
Group 17,Inner_Section,hb-b827eb1cd432,2_1 Speaker 2,182.2077,40.7001,97.28207,16
